# Capturado en un cluster efimero de 3 brokers (fx-broker-1..3, KRaft, RF=3) creando el topico con 12 particiones y alterandolo a 18, para medir el head -N de la guia:  docker exec fx-broker-1 kafka-topics --bootstrap-server fx-broker-1:29092 --describe --topic novatech.gps.realtime
Topic: novatech.gps.realtime	TopicId: M5abCqa6RM-1laxTm8ZMQA	PartitionCount: 18	ReplicationFactor: 3	Configs: min.insync.replicas=2,retention.ms=3600000
	Topic: novatech.gps.realtime	Partition: 0	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 1	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 2	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 3	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 4	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 5	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 6	Leader: 2	Replicas: 2,1,3	Isr: 2,1,3	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 7	Leader: 1	Replicas: 1,3,2	Isr: 1,3,2	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 8	Leader: 3	Replicas: 3,2,1	Isr: 3,2,1	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 9	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 10	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 11	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 12	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 13	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 14	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 15	Leader: 3	Replicas: 3,2,1	Isr: 3,2,1	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 16	Leader: 2	Replicas: 2,1,3	Isr: 2,1,3	Elr: 	LastKnownElr: 
	Topic: novatech.gps.realtime	Partition: 17	Leader: 1	Replicas: 1,3,2	Isr: 1,3,2	Elr: 	LastKnownElr: 
